Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-73.74,45.47,MONTREAL INTL A,7025251,2020-08-29,2020,8,29,,18.2,,14.6,,16.4,,1.6,,0,,34.4,,0,,34.4,,,,24,,48,
-73.74,45.47,MONTREAL INTL A,7025251,2020-08-30,2020,8,30,,20.7,,13,,16.9,,1.1,,0,,0,T,0,,0,T,,,30,,54,
-73.74,45.47,MONTREAL INTL A,7025251,2020-08-31,2020,8,31,,21.3,,10.1,,15.7,,2.3,,0,,0,,0,,0,,,,,M,,M
-73.74,45.47,MONTREAL INTL A,7025251,2020-09-01,2020,9,1,,22.7,,15.2,,19,,0,,1,,0,T,0,,0,T,,,16,,35,
-73.74,45.47,MONTREAL INTL A,7025251,2020-09-02,2020,9,2,,23.8,,16.2,,20,,0,,2,,4,,0,,4,,,,30,,50,
-73.74,45.47,MONTREAL INTL A,7025251,2020-09-03,2020,9,3,,23.8,,15.1,,19.5,,0,,1.5,,0,,0,,0,,,,22,,54,
-73.74,45.47,MONTREAL INTL A,7025251,2020-09-04,2020,9,4,,22.1,,12.1,,17.1,,0.9,,0,,0.6,,0,,0.6,,,,24,,54,
-73.74,45.47,MONTREAL INTL A,7025251,2020-09-05,2020,9,5,,20.9,,10.4,,15.7,,2.3,,0,,0.8,,0,,0.8,,,,25,,54,
-73.74,45.47,MONTREAL INTL A,7025251,2020-09-06,2020,9,6,,20.7,,11.1,,15.9,,2.1,,0,,0,,0,,0,,,,26,,32,
-73.74,45.47,MONTREAL INTL A,7025251,2020-09-07,2020,9,7,,26.1,,13.3,,19.7,,0,,1.7,,8.6,,0,,8.6,,,,21,,52,
-73.74,45.47,MONTREAL INTL A,7025251,2020-09-08,2020,9,8,,21,,12.5,,16.8,,1.2,,0,,3.8,,0,,3.8,,,,32,,32,
-73.74,45.47,MONTREAL INTL A,7025251,2020-09-09,2020,9,9,,17.1,,12.8,,15,,3,,0,,0.2,,0,,0.2,,,,1,,35,
-73.74,45.47,MONTREAL INTL A,7025251,2020-09-10,2020,9,10,,16.4,,11.5,,14,,4,,0,,0.2,,0,,0.2,,,,1,,37,
-73.74,45.47,MONTREAL INTL A,7025251,2020-09-11,2020,9,11,,17.1,,8.3,,12.7,,5.3,,0,,0,,0,,0,,,,1,,33,
-73.74,45.47,MONTREAL INTL A,7025251,2020-09-12,2020,9,12,,20.3,,7.3,,13.8,,4.2,,0,,0,,0,,0,,,,,,,M
-73.74,45.47,MONTREAL INTL A,7025251,2020-09-13,2020,9,13,,20.1,,16,,18.1,,0,,0.1,,22,,0,,22,,,,25,,45,
-73.74,45.47,MONTREAL INTL A,7025251,2020-09-14,2020,9,14,,16,,7,,11.5,,6.5,,0,,0,,0,,0,,,,30,,41,
-73.74,45.47,MONTREAL INTL A,7025251,2020-09-15,2020,9,15,,14.3,,4.8,,9.6,,8.4,,0,,0,,0,,0,,,,,M,,M
-73.74,45.47,MONTREAL INTL A,7025251,2020-09-16,2020,9,16,,23.4,,11.2,,17.3,,0.7,,0,,0,T,0,,0,T,,,23,,58,
-73.74,45.47,MONTREAL INTL A,7025251,2020-09-17,2020,9,17,,16.8,,5.9,,11.4,,6.6,,0,,0,T,0,,0,T,,,,M,,M
-73.74,45.47,MONTREAL INTL A,7025251,2020-09-18,2020,9,18,,13.7,,4.2,,9,,9,,0,,0,,0,,0,,,,,,,M
-73.74,45.47,MONTREAL INTL A,7025251,2020-09-19,2020,9,19,,13.7,,2,,7.9,,10.1,,0,,0,,0,,0,,,,26,,32,
-73.74,45.47,MONTREAL INTL A,7025251,2020-09-20,2020,9,20,,14.1,,4.5,,9.3,,8.7,,0,,0,,0,,0,,,,,,,M
-73.74,45.47,MONTREAL INTL A,7025251,2020-09-21,2020,9,21,,16.1,,2.6,,9.4,,8.6,,0,,0,,0,,0,,,,,M,,M
-73.74,45.47,MONTREAL INTL A,7025251,2020-09-22,2020,9,22,,17.9,,2.5,,10.2,,7.8,,0,,0,,0,,0,,,,7,,50,
-73.74,45.47,MONTREAL INTL A,7025251,2020-09-23,2020,9,23,,23.6,,12,,17.8,,0.2,,0,,0,,0,,0,,,,28,,41,
-73.74,45.47,MONTREAL INTL A,7025251,2020-09-24,2020,9,24,,20,,9.3,,14.7,,3.3,,0,,2.6,,0,,2.6,,,,,M,,M
-73.74,45.47,MONTREAL INTL A,7025251,2020-09-25,2020,9,25,,16.6,,7.8,,12.2,,5.8,,0,,0,T,0,,0,T,,,,M,,M
-73.74,45.47,MONTREAL INTL A,7025251,2020-09-26,2020,9,26,,26.6,,7.8,,17.2,,0.8,,0,,0,,0,,0,,,,,M,,M
-73.74,45.47,MONTREAL INTL A,7025251,2020-09-27,2020,9,27,,27.6,,16.1,,21.9,,0,,3.9,,0,,0,,0,,,,21,,39,
-73.74,45.47,MONTREAL INTL A,7025251,2020-09-28,2020,9,28,,24.2,,18.4,,21.3,,0,,3.3,,0,T,0,,0,T,,,15,,33,
-73.74,45.47,MONTREAL INTL A,7025251,2020-09-29,2020,9,29,,21.4,,13.6,,17.5,,0.5,,0,,11.4,,0,,11.4,,,,24,,50,
-73.74,45.47,MONTREAL INTL A,7025251,2020-09-30,2020,9,30,,16.9,,12.1,,14.5,,3.5,,0,,21.6,,0,,21.6,,,,24,,59,
-73.74,45.47,MONTREAL INTL A,7025251,2020-10-01,2020,10,1,,18.3,,9.9,,14.1,,3.9,,0,,2.4,,0,,2.4,,,,26,,50,
-73.74,45.47,MONTREAL INTL A,7025251,2020-10-02,2020,10,2,,13.2,,7.4,,10.3,,7.7,,0,,9.4,,0,,9.4,,,,,M,,M
-73.74,45.47,MONTREAL INTL A,7025251,2020-10-03,2020,10,3,,12.6,,5.6,,9.1,,8.9,,0,,0,,0,,0,,,,,M,,M
-73.74,45.47,MONTREAL INTL A,7025251,2020-10-04,2020,10,4,,16.3,,4.7,,10.5,,7.5,,0,,0,T,0,,0,T,,,,M,,M
-73.74,45.47,MONTREAL INTL A,7025251,2020-10-05,2020,10,5,,16.2,,9,,12.6,,5.4,,0,,0.6,,0,,0.6,,,,22,,37,
-73.74,45.47,MONTREAL INTL A,7025251,2020-10-06,2020,10,6,,17.3,,10.2,,13.8,,4.2,,0,,0.8,,0,,0.8,,,,23,,46,
-73.74,45.47,MONTREAL INTL A,7025251,2020-10-07,2020,10,7,,15.4,,9,,12.2,,5.8,,0,,8,,0,,8,,,,24,,74,
-73.74,45.47,MONTREAL INTL A,7025251,2020-10-08,2020,10,8,,10,,1.7,,5.9,,12.1,,0,,0,,0,,0,,,,28,,48,
-73.74,45.47,MONTREAL INTL A,7025251,2020-10-09,2020,10,9,,14.7,,1.3,,8,,10,,0,,0,T,0,,0,T,,,22,,42,
-73.74,45.47,MONTREAL INTL A,7025251,2020-10-10,2020,10,10,,23.2,,7.3,,15.3,,2.7,,0,,5.6,,0,,5.6,,,,29,,87,
-73.74,45.47,MONTREAL INTL A,7025251,2020-10-11,2020,10,11,,9.6,,2.7,,6.2,,11.8,,0,,0,,0,,0,,,,1,,32,
-73.74,45.47,MONTREAL INTL A,7025251,2020-10-12,2020,10,12,,15.5,,0.5,,8,,10,,0,,0,,0,,0,,,,13,,42,
-73.74,45.47,MONTREAL INTL A,7025251,2020-10-13,2020,10,13,,11.5,,8.3,,9.9,,8.1,,0,,25.6,,0,,25.6,,,,15,,42,
-73.74,45.47,MONTREAL INTL A,7025251,2020-10-14,2020,10,14,,15.3,,7.9,,11.6,,6.4,,0,,0,,0,,0,,,,27,,42,
-73.74,45.47,MONTREAL INTL A,7025251,2020-10-15,2020,10,15,,22.2,,9.1,,15.7,,2.3,,0,,2.2,,0,,2.2,,,,23,,52,
-73.74,45.47,MONTREAL INTL A,7025251,2020-10-16,2020,10,16,,11,,6,,8.5,,9.5,,0,,7,,0,,7,,,,23,,33,
-73.74,45.47,MONTREAL INTL A,7025251,2020-10-17,2020,10,17,,13,,4.5,,8.8,,9.2,,0,,0,,0,,0,,,,24,,37,
-73.74,45.47,MONTREAL INTL A,7025251,2020-10-18,2020,10,18,,14.8,,5.7,,10.3,,7.7,,0,,0,,0,,0,,,,16,,46,
-73.74,45.47,MONTREAL INTL A,7025251,2020-10-19,2020,10,19,,12.9,,8.5,,10.7,,7.3,,0,,7.8,,0,,7.8,,,,16,,37,
-73.74,45.47,MONTREAL INTL A,7025251,2020-10-20,2020,10,20,,10.5,,6.3,,8.4,,9.6,,0,,13.4,,0,,13.4,,,,6,,32,
-73.74,45.47,MONTREAL INTL A,7025251,2020-10-21,2020,10,21,,15.8,,4.6,,10.2,,7.8,,0,,11,,0,,11,,,,29,,42,
-73.74,45.47,MONTREAL INTL A,7025251,2020-10-22,2020,10,22,,13.1,,5.7,,9.4,,8.6,,0,,0,T,0,,0,T,,,,M,,M
-73.74,45.47,MONTREAL INTL A,7025251,2020-10-23,2020,10,23,,23.8,,8.9,,16.4,,1.6,,0,,0,,0,,0,,,,16,,45,
-73.74,45.47,MONTREAL INTL A,7025251,2020-10-24,2020,10,24,,18.9,,3.5,,11.2,,6.8,,0,,4,,0,,4,,,,25,,55,
-73.74,45.47,MONTREAL INTL A,7025251,2020-10-25,2020,10,25,,6.5,,0.8,,3.7,,14.3,,0,,0,,0,,0,,,,2,,35,
-73.74,45.47,MONTREAL INTL A,7025251,2020-10-26,2020,10,26,,5.1,,2.1,,3.6,,14.4,,0,,11.2,,0,,11.2,,,,,M,,M
-73.74,45.47,MONTREAL INTL A,7025251,2020-10-27,2020,10,27,,3.8,,-2,,0.9,,17.1,,0,,0,,0,,0,,,,,M,,M
-73.74,45.47,MONTREAL INTL A,7025251,2020-10-28,2020,10,28,,8.2,,0,,4.1,,13.9,,0,,0,,0,T,0,T,,,23,,42,
-73.74,45.47,MONTREAL INTL A,7025251,2020-10-29,2020,10,29,,7.7,,-1.7,,3,,15,,0,,0,T,0,,0,T,,,3,,55,
-73.74,45.47,MONTREAL INTL A,7025251,2020-10-30,2020,10,30,,2.5,,-4.1,,-0.8,,18.8,,0,,0,,0,,0,,,,3,,46,
-73.74,45.47,MONTREAL INTL A,7025251,2020-10-31,2020,10,31,,5.1,,-5.9,,-0.4,,18.4,,0,,0,,0,,0,,,,,M,,M
-73.74,45.47,MONTREAL INTL A,7025251,2020-11-01,2020,11,1,,8.7,,1,,4.9,,13.1,,0,,2.4,,0,,2.4,,,,15,,55,
-73.74,45.47,MONTREAL INTL A,7025251,2020-11-02,2020,11,2,,2.7,,-2.2,,0.3,,17.7,,0,,0,,1.2,,2,,0,T,29,,71,
-73.74,45.47,MONTREAL INTL A,7025251,2020-11-03,2020,11,3,,1.5,,-1.8,,-0.2,,18.2,,0,,0,T,0,,0,T,1,,31,,42,
-73.74,45.47,MONTREAL INTL A,7025251,2020-11-04,2020,11,4,,9.8,,-0.4,,4.7,,13.3,,0,,0,,0,,0,,,,13,,32,
-73.74,45.47,MONTREAL INTL A,7025251,2020-11-05,2020,11,5,,20.6,,-1.2,,9.7,,8.3,,0,,0,,0,,0,,,,24,,46,
-73.74,45.47,MONTREAL INTL A,7025251,2020-11-06,2020,11,6,,17.6,,8.2,,12.9,,5.1,,0,,0,,0,,0,,,,23,,50,
-73.74,45.47,MONTREAL INTL A,7025251,2020-11-07,2020,11,7,,19.8,,9.6,,14.7,,3.3,,0,,0,,0,,0,,,,25,,37,
-73.74,45.47,MONTREAL INTL A,7025251,2020-11-08,2020,11,8,,19.6,,9.2,,14.4,,3.6,,0,,0,,0,,0,,,,24,,39,
-73.74,45.47,MONTREAL INTL A,7025251,2020-11-09,2020,11,9,,20,,7.8,,13.9,,4.1,,0,,0,,0,,0,,,,,,,M
-73.74,45.47,MONTREAL INTL A,7025251,2020-11-10,2020,11,10,,22.4,,6.9,,14.7,,3.3,,0,,0,,0,,0,,,,,M,,M
-73.74,45.47,MONTREAL INTL A,7025251,2020-11-11,2020,11,11,,19.6,,7.8,,13.7,,4.3,,0,,0,T,0,,0,T,,,22,,52,
-73.74,45.47,MONTREAL INTL A,7025251,2020-11-12,2020,11,12,,8,,-1.3,,3.4,,14.6,,0,,0,,0,,0,,,,30,,37,
-73.74,45.47,MONTREAL INTL A,7025251,2020-11-13,2020,11,13,,6.1,,-2.7,,1.7,,16.3,,0,,0.4,,0,,0.4,,,,26,,37,
-73.74,45.47,MONTREAL INTL A,7025251,2020-11-14,2020,11,14,,6,,-4,,1,,17,,0,,0,,0,,0,,,,28,,41,
-73.74,45.47,MONTREAL INTL A,7025251,2020-11-15,2020,11,15,,8.4,,-4.8,,1.8,,16.2,,0,,3.6,,0,,3.6,,,,13,,61,
-73.74,45.47,MONTREAL INTL A,7025251,2020-11-16,2020,11,16,,8.4,,2,,5.2,,12.8,,0,,0.4,,0,T,0.4,,,,23,,76,
-73.74,45.47,MONTREAL INTL A,7025251,2020-11-17,2020,11,17,,3.5,,-5.8,,-1.2,,19.2,,0,,0,,0,T,0,T,,,32,,41,
-73.74,45.47,MONTREAL INTL A,7025251,2020-11-18,2020,11,18,,-2.7,,-6.6,,-4.7,,22.7,,0,,0,,0,T,0,T,,,30,,33,
-73.74,45.47,MONTREAL INTL A,7025251,2020-11-19,2020,11,19,,4,,-5.2,,-0.6,,18.6,,0,,0,,0,,0,,,,14,,45,
-73.74,45.47,MONTREAL INTL A,7025251,2020-11-20,2020,11,20,,15,,-1.7,,6.7,,11.3,,0,,0,,0,,0,,,,24,,63,
-73.74,45.47,MONTREAL INTL A,7025251,2020-11-21,2020,11,21,,9,,-4.9,,2.1,,15.9,,0,,0,,0,,0,,,,25,,42,
-73.74,45.47,MONTREAL INTL A,7025251,2020-11-22,2020,11,22,,1.7,,-6.3,,-2.3,,20.3,,0,,2.8,,10.4,,13.2,,3,E,8,,39,
-73.74,45.47,MONTREAL INTL A,7025251,2020-11-23,2020,11,23,,5,,0.3,,2.7,,15.3,,0,,14.8,,0,,14.8,,2,,24,,55,
-73.74,45.47,MONTREAL INTL A,7025251,2020-11-24,2020,11,24,,0.3,,-5,,-2.4,,20.4,,0,,0,,0,,0,,0,T,29,,46,
-73.74,45.47,MONTREAL INTL A,7025251,2020-11-25,2020,11,25,,0.3,,-4.8,,-2.3,,20.3,,0,,0,,10.8,,10.8,,0,T,,,,M
-73.74,45.47,MONTREAL INTL A,7025251,2020-11-26,2020,11,26,,2,,-0.6,,0.7,,17.3,,0,,2.8,,0,,2.8,,7,,,,,M
-73.74,45.47,MONTREAL INTL A,7025251,2020-11-27,2020,11,27,,6.5,,2,,4.3,,13.7,,0,,0.6,,0,,0.6,,0,T,,M,,M
-73.74,45.47,MONTREAL INTL A,7025251,2020-11-28,2020,11,28,,6.1,,3,,4.6,,13.4,,0,,0,,0,,0,,,,24,,39,
-73.74,45.47,MONTREAL INTL A,7025251,2020-11-29,2020,11,29,,7.8,,2.3,,5.1,,12.9,,0,,0,,0,,0,,,,22,,35,
-73.74,45.47,MONTREAL INTL A,7025251,2020-11-30,2020,11,30,,8.2,,1.6,,4.9,,13.1,,0,,13.6,,0,,13.6,,,,5,,58,
-73.74,45.47,MONTREAL INTL A,7025251,2020-12-01,2020,12,1,,10.3,,3.4,,6.9,,11.1,,0,,11,,0,,11,,,,25,,42,
-73.74,45.47,MONTREAL INTL A,7025251,2020-12-02,2020,12,2,,3.7,,-1.8,,1,,17,,0,,0,,0.2,,0.2,,0,T,26,,48,
-73.74,45.47,MONTREAL INTL A,7025251,2020-12-03,2020,12,3,,5.7,,-2.2,,1.8,,16.2,,0,,0,T,0,,0,T,0,T,23,,55,
-73.74,45.47,MONTREAL INTL A,7025251,2020-12-04,2020,12,4,,4.4,,1.5,,3,,15,,0,,3.8,,0,,3.8,,,,22,,45,
-73.74,45.47,MONTREAL INTL A,7025251,2020-12-05,2020,12,5,,3.5,,-2.8,,0.4,,17.6,,0,,0,,0,,0,,,,1,,42,
-73.74,45.47,MONTREAL INTL A,7025251,2020-12-06,2020,12,6,,-0.9,,-3.9,,-2.4,,20.4,,0,,0,,0,,0,,,,28,,45,
-73.74,45.47,MONTREAL INTL A,7025251,2020-12-07,2020,12,7,,-2.3,,-6,,-4.2,,22.2,,0,,0,,0,,0,,,,,,,M
-73.74,45.47,MONTREAL INTL A,7025251,2020-12-08,2020,12,8,,-4.1,,-6.6,,-5.4,,23.4,,0,,0,,0,T,0,T,,,24,,35,
-73.74,45.47,MONTREAL INTL A,7025251,2020-12-09,2020,12,9,,0.5,,-6.2,,-2.9,,20.9,,0,,0,,4.2,,4.2,,0,T,,M,,M
-73.74,45.47,MONTREAL INTL A,7025251,2020-12-10,2020,12,10,,2.1,,-1.6,,0.3,,17.7,,0,,0,,0,T,0,T,3,,28,,35,
-73.74,45.47,MONTREAL INTL A,7025251,2020-12-11,2020,12,11,,5,,-0.9,,2.1,,15.9,,0,,0,,0,,0,,1,,,M,,M
-73.74,45.47,MONTREAL INTL A,7025251,2020-12-12,2020,12,12,,3.8,,0.5,,2.2,,15.8,,0,,1.8,,0,,1.8,,0,T,4,,48,
-73.74,45.47,MONTREAL INTL A,7025251,2020-12-13,2020,12,13,,7.3,,-2.7,,2.3,,15.7,,0,,1.6,,0,,1.6,,,,23,,72,
-73.74,45.47,MONTREAL INTL A,7025251,2020-12-14,2020,12,14,,-1.3,,-4,,-2.7,,20.7,,0,,0,,0.4,,0.4,,0,T,27,,63,
-73.74,45.47,MONTREAL INTL A,7025251,2020-12-15,2020,12,15,,-4.7,,-16.5,,-10.6,,28.6,,0,,0,,0,,0,,0,T,30,,54,
-73.74,45.47,MONTREAL INTL A,7025251,2020-12-16,2020,12,16,,-12.4,,-17.9,,-15.2,,33.2,,0,,0,,0,,0,,0,T,4,,46,
-73.74,45.47,MONTREAL INTL A,7025251,2020-12-17,2020,12,17,,-7.8,,-13.2,,-10.5,,28.5,,0,,0,,0,,0,,0,T,2,,39,
-73.74,45.47,MONTREAL INTL A,7025251,2020-12-18,2020,12,18,,-5.4,,-14.5,,-10,,28,,0,,0,,0,,0,,,,,M,,M
-73.74,45.47,MONTREAL INTL A,7025251,2020-12-19,2020,12,19,,-2.2,,-13.3,,-7.8,,25.8,,0,,0,,0,T,0,T,0,T,,M,,M
-73.74,45.47,MONTREAL INTL A,7025251,2020-12-20,2020,12,20,,0.1,,-3.3,,-1.6,,19.6,,0,,0,,6.2,,6.2,,0,T,15,,33,
-73.74,45.47,MONTREAL INTL A,7025251,2020-12-21,2020,12,21,,3.5,,-0.3,,1.6,,16.4,,0,,0,,0,T,0,T,5,,,M,,M
-73.74,45.47,MONTREAL INTL A,7025251,2020-12-22,2020,12,22,,1.8,,-6.5,,-2.4,,20.4,,0,,0,,2,,2,,3,,26,,52,
-73.74,45.47,MONTREAL INTL A,7025251,2020-12-23,2020,12,23,,1.8,,-10.6,,-4.4,,22.4,,0,,0,,2.6,,2.6,,3,,13,,41,
-73.74,45.47,MONTREAL INTL A,7025251,2020-12-24,2020,12,24,,10.4,,1,,5.7,,12.3,,0,,18,,0,,18,,0,T,16,,52,
-73.74,45.47,MONTREAL INTL A,7025251,2020-12-25,2020,12,25,,13.6,,-0.7,,6.5,,11.5,,0,,9.4,,1.8,,11.2,,1,E,24,,55,
-73.74,45.47,MONTREAL INTL A,7025251,2020-12-26,2020,12,26,,-0.5,,-7.8,,-4.2,,22.2,,0,,0,,1,,1,,1,,23,,72,
-73.74,45.47,MONTREAL INTL A,7025251,2020-12-27,2020,12,27,,-2.5,,-8.5,,-5.5,,23.5,,0,,0,,0,T,0,T,1,,,,,M
-73.74,45.47,MONTREAL INTL A,7025251,2020-12-28,2020,12,28,,4.6,,-2.9,,0.9,,17.1,,0,,0,,2,,1.8,,1,,20,,67,
-73.74,45.47,MONTREAL INTL A,7025251,2020-12-29,2020,12,29,,-3.2,,-8.8,,-6,,24,,0,,0,,0,,0,,0,T,29,,46,
-73.74,45.47,MONTREAL INTL A,7025251,2020-12-30,2020,12,30,,2.1,,-7.8,,-2.9,,20.9,,0,,3.4,,9.2,,12.6,,0,T,13,,45,
-73.74,45.47,MONTREAL INTL A,7025251,2020-12-31,2020,12,31,,3.7,,-6.9,,-1.6,,19.6,,0,,0.8,,0,T,0.8,,4,,26,,76,
